BranchCode,BranchName,City,Pincode,District,State,StdCode,PhoneNumber,EmailId,IFSC_Code,BranchCircle,Address-1,Address-2,Address-3
10990,KOSAMBA (VALSAD),VALSAD- DAMAN,396007,BULSAR,GUJRAT,2632,02632244919,SBI.10990@SBI.CO.IN,SBIN0010990,AHMEDABAD,"PREMCHHAYA COMPLEX,","BALDEV STREET, KOSAMBA",VALSAD. GUJARAT
60149,RANPUR,JUNAGADH,362030,JUNAGADH,GUJRAT,2873,250236,sbi.60149@sbi.co.in,SBIN0060149,AHMEDABAD,PARTH COMPLEX,NR.BUS STAND,"AT.RANPUR,TA.BHESAN,DIST.JUNAGADH"
60116,ANKOLWADI,JUNAGADH,362140,GIR SOMNATH,GUJRAT,2877,233320,sbi.60116@sbi.co.in,SBIN0060116,AHMEDABAD,ANKOLWADI,ANKOLWADI,DIST-JUNAGADH
60160,APMC DHOLKA,KADI(N.G.),382225,AHMEDABAD,GUJRAT,2714,221813,sbi.60160@sbi.co.in,SBIN0060160,AHMEDABAD,"APMC DHOLKA, MAGHIYA,",KHEDA - BAGHODHRA HIGHWAY,DHOLKA
10948,BHESTAN,SURAT,395023,SURAT,GUJRAT,2610,2462709,SBI.10948@SBI.CO.IN,SBIN0010948,AHMEDABAD,"PLOT NO 1 TO 4, NEAR SAIKRIPA MILIN STO","MAHAVIR INDU, BHESTAN",SURAT
08417,THAVAD,NADIAD,387620,KHEDA,GUJRAT,2691,289549,SBI.08417@SBI.CO.IN,SBIN0008417,AHMEDABAD,THAVAD,TALUKA : KAPADWANJ,"DIST:KHEDA, GUJRAT"
13013,REGIONAL BUSINESS OFFICE -II AHMEDABAD,AHMEDABAD/ GANDHI NAGAR,380015,AHMEDABAD,GUJRAT,79,26569552,agm2.aao@sbi.co.in,SBIN0013013,AHMEDABAD,AHMEDABAD ADMINISTRATIVE OFFICE,C N VIDYALAYA COMPOUND,AMBAWADI
13018,REGIONAL BUSINESS OFFICE KUTCH,MUNDRA,370230,KUTCH,GUJRAT,2836,"253520, 22",sbi.13018@sbi.co.in,SBIN0013018,AHMEDABAD,"1ST FLOOR, KANDLA SEZ BRANCH",GANDHIDHAM,KUTCH
01631,STATION ROAD (VALSAD),VALSAD- DAMAN,396001,BULSAR,GUJRAT,2632,254189,sbi.01631@sbi.co.in,SBIN0001631,AHMEDABAD,OPP. AVABAI HIGH SCHOOL,VALSAD,GUJRAT
02660,KARAKHADI,CHHOTA-UDEPUR,391450,BARODA,GUJRAT,2662,273236,sbi.02660@sbi.co.in,SBIN0002660,AHMEDABAD,NEAR SAI MANDIR,"VILL & PO KARKHADI, TAL PADRA","VADODARA,"
60287,KRANKACH,KOVAYA,365565,AMRELI,GUJRAT,2793,231015,sbi.60287@sbi.co.in,SBIN0060287,AHMEDABAD,KRANKACH-365565,TALUKA-LILIA MOTA,DIST-AMRELI
19047,SBI INTOUCH SHIVRANJANI,AHMEDABAD/ GANDHI NAGAR,380015,AHMEDABAD,GUJRAT,79,,SBI.19047@SBI.CO.IN,,AHMEDABAD,SHIVALIK HIGH STREET,"GF -3 -A,B,C,D, NEAR KESHAV BAUG PARTY","SHIVRANJANI, VASTRAPUR, AHMEDABAD"
60026,TALAJA MAIN,BHAVNAGAR,364140,BHAVNAGAR,GUJRAT,2842,222720,sbi.60026@sbi.co.in,SBIN0060026,AHMEDABAD,JAWAHAR CHOWK,TALAJA,TALAJA
01063,UNIV CAMPUS AREA (AHMEDABAD),AHMEDABAD/ GANDHI NAGAR,380014,AHMEDABAD,GUJRAT,79,26402192,sbi.01063@sbi.co.in,SBIN0001063,AHMEDABAD,"LAJPATHNAGAR, OPP.MOLTILAL","PARK, OPP PUNANAND ASHRAM","AHMEDABAD, GUJRAT"
10949,BHAILI,CHHOTA-UDEPUR,391410,BARODA,GUJRAT,,,sbi.10949@sbi.co.in,SBIN0010949,AHMEDABAD,P.O.BHAILI,TAL.DIST BARODA,BARODA
03043,CIVIL HOSPITAL PRECINCTS,AHMEDABAD/ GANDHI NAGAR,380016,AHMEDABAD,GUJRAT,79,22867948,sbi.03043@sbi.co.in,SBIN0003043,AHMEDABAD,"OPP. B.J.MEDICAL COLLEGE,","PO BAG NO.1,","AHMEDABAD,, GUJRAT"
00549,KADI(N.G.),KADI(N.G.),382715,MEHSANA,GUJRAT,2764,242228,sbi.0549@sbi.co.in,SBIN0000549,AHMEDABAD,"PATEL BHUVAN,","STATION ROAD, KADI","DIST:MEHSANA, GUJRAT"
09307,RANGPUR,CHHOTA-UDEPUR,391165,CHHOTA UDAIPUR,GUJRAT,2669,246103,SBI.09307@SBI.CO.IN,SBIN0009307,AHMEDABAD,"TAL: CHHOTA UDEPUR,",BARODA,"BARODA, GUJRAT"
10191,SME MORVI,SURENDRANAGAR,363642,MORBI,GUJRAT,2822,243569,SBI.10191@SBI.CO.IN,SBIN0010191,AHMEDABAD,"1ST FLOOR, MARUTI GOLD INDUSTRIES","NATIONAL HIGHWAY BA, LALPAR, MORVI","RAJKOT, GUJRAT"
03141,VADGAM,KADI(N.G.),382750,SURENDRANAGAR,GUJRAT,2757,250221,sbi.03141@sbi.co.in,SBIN0003141,AHMEDABAD,"TALUK-DASADA,",DIST:SURENDRANAGAR,GUJRAT
19077,SBI INTOUCH VIP ROAD SURAT,SURAT,395007,SURAT,GUJRAT,261,,SBI.19077@SBI.CO.IN,,AHMEDABAD,"SHOP-10 TO 12 &14, RUNGTA SHOPING CENTR","OPP NANDANVAN 2,VIP MAIN ROAD, BHARTHAN",SURAT
10947,BAMROLI,UDHNA UDYOGNAGAR,394221,SURAT,GUJRAT,2610,02612892798,SBI.10947@SBI.CO.IN,SBIN0010947,AHMEDABAD,B -18 LIG-336 . JALARAM NAGAR,"G .H.B . NR PIYUSH POINT,","BAMROLI, PANDESARA,SURAT"
60168,CHORWAD,JUNAGADH,362250,JUNAGADH,GUJRAT,2870,288523,sbi.60168@sbi.co.in,SBIN0060168,AHMEDABAD,CHORWAD,CHORWAD,DIST-JUNAGADH
18812,MARKETING YARD GONDAL,PORBANDAR,360311,RAJKOT,GUJRAT,,,SBI.18812@SBI.CO.IN,SBIN0018812,AHMEDABAD,PREMISES OF SHREE GEETA BATTERY SERVICE,OPP MARKETING YARD GONDAL,"NEAR GUNDALA CHOWKDI, GONDAL"
00525,I E BAPUNAGAR,AHMEDABAD/ GANDHI NAGAR,380024,AHMEDABAD,GUJRAT,79,22741246,sbi.00525@sbi.co.in,SBIN0000525,AHMEDABAD,"ANAND ESTATE, OPP BAPUNAGAR IND ESTATE",AHMEDABAD,"AHMEDABAD, GUJRAT"
13096,RBO 2- BHAVNAGAR,BHAVNAGAR,364001,BHAVNAGAR,GUJRAT,278,"2515441,442",sbi.13096@sbi.co.in,SBIN0013096,AHMEDABAD,"2ND FLOOR, ADMINISTRATIVE OFFICE",NILAMBAUG,BHAVNAGAR
32215,SIDHI RESIDENCY SURAT,UDHNA UDYOGNAGAR,394510,SURAT,GUJRAT,261,2730020,sbbj11215@sbi.co.in,NULL,AHMEDABAD,"SHOP NO. 13-14, SIDDHI RESIDENCY,","PAL ROAD, NEW ADAJAN",SURAT
60037,CHALALA,KOVAYA,365630,AMRELI,GUJRAT,2797,251507,sbi.60037@sbi.co.in,SBIN0060037,AHMEDABAD,CHALALA SHOPPING CENTRE 1ST FLOOR,AMRELI ROAD,"CHALALA, AMRELI"
60041,GIRIRAJ CHOWK JAFRABAD,BHAVNAGAR,364540,AMRELI,GUJRAT,2794,246368,sbi.60041@sbi.co.in,SBIN0060041,AHMEDABAD,JAFRABAD,JAFRABAD,JAFRABAD
00380,HARIJ,MEHSANA,384240,PATAN,GUJRAT,2733,222003,SBI.00380SBI.CO.IN,SBIN0000380,AHMEDABAD,NEHARU ROAD,HARIJ PATAN,GUJRAT
02682,UNAVA,MEHSANA,384160,MEHSANA,GUJRAT,2767,252658,sbi.02682@sbi.co.in,SBIN0002682,AHMEDABAD,NEAR BUS ST AND TA UNJHA,DIST MEHSANA,"DIST:MEHSANA, GUJRAT"
60035,RAJULA MAIN,KOVAYA,365560,AMRELI,GUJRAT,2794,222034,sbi.60035@sbi.co.in,SBIN0060035,AHMEDABAD,POST OFFICE ROAD,RAJULA-365560,DIST-AMRELI
17321,SBI GURUKUL ROAD BRANCH-17321,SURENDRANAGAR,363310,SURENDRANAGAR,GUJRAT,2754,260970,SBI.17321@SBI.CO.IN,SBIN0017321,AHMEDABAD,"SHIVAM COMPLEX,OPP-SHIVSHAKTI HONDA SHO","ROOM,NEAR BHAGWATDHAM,HALVAD ROAD","DHRANGADHRA,DIST-SURENDRANAGAR"
13521,SUMEL,AHMEDABAD/ GANDHI NAGAR,380001,AHMEDABAD,GUJRAT,79,,sbi.13521@sbi.co.in,SBIN0013521,AHMEDABAD,"SHOP NO.9 &10 ,1 ST FLOOR ,SUMEL COMPLE",B/H NEW CLOTH MARKET,AHMEDABAD
60033,KODINAR,JUNAGADH,362720,GIR SOMNATH,GUJRAT,2795,221514,sbi.60033@sbi.co.in,SBIN0060033,AHMEDABAD,DR. JIVRAJ MEHTA ROAD,KODINAR,DIST-AMRELI
16480,NESVAD,BHAVNAGAR,364290,BHAVNAGAR,GUJRAT,2844,246125,sbi.16480@sbi.co.in,SBIN0016480,AHMEDABAD,"PLOT NO 3A, MAHUVA- NESVAD ROAD,",OPP : ASHOK NAGAR VILLAGE MESVAD,"TEH: MAHUVA DIST: BHAVNAGAR, GUJRAT"
08076,PANCHAYAT BHAVAN (NADIAD),NADIAD,387002,KHEDA,GUJRAT,268,2556244,sbi.08076@sbi.co.in,SBIN0008076,AHMEDABAD,OPP PANCHAYAT BHAVAN,NEAR ASHOK NAGAR MISSION ROAD,"NADIAD DIST:KHEDA, GUJRAT"
60921,RACPC BHAVNAGAR,BHAVNAGAR,364001,BHAVNAGAR,GUJRAT,2780,,sbi.60921@sbi.co.in,SBIN0060921,AHMEDABAD,"RACPC BHAVNAGAR , NILAMBAUG",DARBARGADH,BHAVNAGAR
18811,SAHAKARI JIN ROAD HIMATNAGAR,MODASA,383001,SABARKANTHA,GUJRAT,2772,,SBI.18811@SBI.CO.IN,SBIN0018811,AHMEDABAD,"UMA COMPLEX, PLOT NO. 9 -10","RAJMAHEL SOCIETY, SAHAKARI JIN ROAD",HIMATNAGAR (S.K.) -GUJARAT
60388,AHMEDABAD SATTELITE BR,AHMEDABAD/ GANDHI NAGAR,380015,AHMEDABAD,GUJRAT,79,26858514,sbi.60388@sbi.co.in,SBIN0060388,AHMEDABAD,10-11-12 AKASH COMPLEX,SATELLITE ROAD BR. AHMEDABAD,SATELLITE AHMEDABAD.
00535,DEHGAM (DIS.GANDHINAGAR),KADI(N.G.),382305,GANDHINAGAR,GUJRAT,2716,232641,SBI.00535@SBI.CO.IN,SBIN0000535,AHMEDABAD,ANURADHA SOCIETY PART II NARODA ROAD,DEHGAM DIST GANDHINAGAR,382305
70508,ELLIS BRIDGE - ASHRAM ROAD AHMEDABAD,AHMEDABAD/ GANDHI NAGAR,380006,AHMEDABAD,GUJRAT,7900,26446246,ahmedabad2@sbi.co.in,NULL,AHMEDABAD,P.B.NO.11,GROUND FLOOR KAIVANA,AMBAVADI
03149,NIRMALI,NADIAD,387650,KHEDA,GUJRAT,2691,285644,SBI.03149@SBI.CO.IN,SBIN0003149,AHMEDABAD,"KAPADWANJ TALUKA,",(DIST.KAIRA,GUJRAT
15231,STATE BANK OF INDIA ANAVAL,VALSAD- DAMAN,396510,SURAT,GUJRAT,2625,252666,sbi.15231@sbi.co.in,SBIN0015231,AHMEDABAD,C/O DR MAGANBHAI HARIBHAI DANGAR,"STATION ROAD ANAVAL, TALUKA MAHUVA",ANAVAL
60428,GULAB TOWER AHMEDABAD,AHMEDABAD/ GANDHI NAGAR,380061,AHMEDABAD,GUJRAT,79,27494682,sbi.60428@sbi.co.in,SBIN0060428,AHMEDABAD,"APM SHOPPING MALL ,","NEAR MODI PETROL PUMP, GHATLODIA",AHMEDABAD
07651,KADJODRA SAB,KADI(N.G.),382315,GANDHINAGAR,GUJRAT,2716,265102,sbi.07651@sbi.co.in,SBIN0007651,AHMEDABAD,"TALUKA : DEHGAM,",DIST GANDHINAGAR,"AHMEDABAD, GUJRAT"
01035,MIYAGAM (KARJAN),CHHOTA-UDEPUR,391240,BARODA,GUJRAT,2666,232049,SBI.01035@SBI.CO.IN,SBIN0001035,AHMEDABAD,"BARODA, GUJRAT","BARODA, GUJRAT",GUJARAT
01064,LALBAUG (BARODA),BARODA,390011,BARODA,GUJRAT,265,2652996,sbi.01064@sbi.co.in,SBIN0001064,AHMEDABAD,"POST BAG NO.520, NEAR RLY.","CROSSING, BARODA,","BARODA, GUJRAT"
60225,NAVA BUNDER,JUNAGADH,362510,GIR SOMNATH,GUJRAT,2875,244333,sbi.60225@sbi.co.in,SBIN0060225,AHMEDABAD,HANUMAN CHORA POST-DELWADA,NAVABANDAR,DIST-JUNAGADH
06139,SARASPUR(AHMEDABAD),AHMEDABAD/ GANDHI NAGAR,380024,AHMEDABAD,GUJRAT,79,22743502,SBI.06139@SBI.CO.IN,SBIN0006139,AHMEDABAD,"TIRUPATI ESTATE,",SARASPUR,"AHMEDABAD,GUJRAT"
60066,TALALA GIR,JUNAGADH,362150,GIR SOMNATH,GUJRAT,2877,222248,sbi.60066@sbi.co.in,SBIN0060066,AHMEDABAD,MAIN BAZAR,TALALA GIR,DIST-JUNAGADH
05949,UPLETA(SAURASHTRA),PORBANDAR,360490,RAJKOT,GUJRAT,2826,220476,sbi.05949@sbi.co.in,SBIN0005949,AHMEDABAD,"TOWER ROAD,",AT & POST UPLETA,"DIST:RAJKOT, GUJRAT"
60437,BHILODA,NULL,0,ARAVALLI,GUJRAT,2771,234481,sbi.60437@sbi.co.in,SBIN0060437,AHMEDABAD,LATIWALA COMPLEX AKSHAR PLAZA,BHILODA SHAMLAJI HIGHWAY BHILODA,ARAVALLI DISTRICT
00344,CAMBAY,PETLAD,388620,ANAND,GUJRAT,2698,222548,sbi.00344@sbi.co.in,SBIN0000344,AHMEDABAD,"POST BOX NO.7, CAMBAY,","TEEN DARWAJA, KHAMBHAT","DIST:ANAND, GUJARAT"
60459,ENA,UDHNA UDYOGNAGAR,394310,SURAT,GUJRAT,2622,263571,SBI.60459@SBI.CO.IN,SBIN0060459,AHMEDABAD,ENA GAM CHAROTARIYA PATIDAR SAMASTA,"TRUST BLDG., VIA GANGADHARA,",ENA
01698,AHMEDABAD MUNI CORP,AHMEDABAD/ GANDHI NAGAR,380001,AHMEDABAD,GUJRAT,79000,25357310,sb.01698@sbi.co.in,SBIN0001698,AHMEDABAD,"OPP.DANAPITH FIRE BRIGADE,",AHMEDABAD,"AHMEDABAD, GUJRAT"
05519,BALVA,KADI(N.G.),382721,GANDHINAGAR,GUJRAT,2764,287527,SBI.05519@SBI.CO.IN,SBIN0005519,AHMEDABAD,"NEAR SWAMINARAYAN MANDIR, BALVA",TA- KALOL,DISTT- GANDHINAGAR
60297,VADODARA PRATAP NAGAR,BARODA,390004,BARODA,GUJRAT,265,02652580333,sbi.60297@sbi.co.in,SBIN0060297,AHMEDABAD,NEAR ALPANA CINEMA,PRATAPNAGAR R,PRATAPNAGAR VADODARA
60364,SWAMINARAYAN TEMPLE CHOWK MADHAPAR,MUNDRA,370020,KUTCH,GUJRAT,2832,240370,sbi.60364@sbi.co.in,SBIN0060364,AHMEDABAD,SWAMINARAYAN MANDIR COMP,MADHPARKUTCH370020,TALUKA BHUJ - KUTCH
13360,BHATHENA,UDHNA UDYOGNAGAR,394210,SURAT,GUJRAT,261,2274113,,SBIN0013360,AHMEDABAD,SHOP NO 6 TO 13 RIDDHI SIDDHI APPARTMEN,BHATHENA MAIN ROAD,SURAT
13457,NANDELAV,BHARUCH,392001,BHARUCH,GUJRAT,2642,,sbi.13457@sbi.co.in,SBIN0013457,AHMEDABAD,"BRIDGE VIEW COMPLEX , GROUND FLOOR","NEAR HOTEL MADHULI, DAHEJ BYPASS ROAD",BHARUCH
13357,NRI BRANCH NADIAD,NADIAD,387001,KHEDA,GUJRAT,268,2526116,sbi.13357@sbi.co.in,SBIN0013357,AHMEDABAD,"SHIVALIK COMPLEX , NR . RLY. CROSSING",PETLAD ROAD,"NADIAD, DIST KHEDA"
03792,PBB MITHAKHALI AHMEDABAD - 3792,NULL,0,AHMEDABAD,GUJRAT,79,26443633,sbi.03792@sbi.co.in,SBIN0003792,AHMEDABAD,"GROUND FLOOR, CITY PRIDE BUILDING,",MITHAKALI SIX ROAD AHMEDABAD,AHMEDABAD
12251,RBO ANAND-DAHOD (VAO5),PETLAD,388121,ANAND,GUJRAT,2692,235285,agm5.rao@sbi.co.in,SBIN0012251,AHMEDABAD,"ANAND-SOJITRA ROAD, JANTA CHOKDI",VITHAL UDYOGNAGAR,ANAND
15057,KHARACH (BIRLADHAM),UDHNA UDYOGNAGAR,394120,SURAT,GUJRAT,,,sbi.15057@sbi.co.in,SBIN0015057,AHMEDABAD,"BIRLADHAM CAMPUS, VIA KOSAMBA","KHARACH, TAL-HANSOT",DIST- BHARUCH
05524,MALANA,BANASKANTHA,385002,BANASKANTHA,GUJRAT,2742,233039,sbi.05524@sbi.co.in,SBIN0005524,AHMEDABAD,"TAL :PALANPUR,",BANASKANTHA,"DIST:BANASKANTHA, GUJRAT"
60298,MOKAR,PORT OKHA,361571,PORBANDAR,GUJRAT,2801,238710,,SBIN0060298,AHMEDABAD,MOKAR,TALUKA-RANAVAV,DIST-PORBANDAR
16036,RANCHHOD NAGAR,PORBANDAR,360003,RAJKOT,GUJRAT,281,2452285,sbi.16036@sbi.co.in,SBIN0016036,AHMEDABAD,M/S BALAJI INFRA GROUND FLOOR,"G B DIAMOND SQUARE, PEDAK ROAD 4",RANCHHOD NAGAR RAJKOT
60435,AKSHAR CHOWK BRANCH,BARODA,390020,BARODA,GUJRAT,265,2355066,sbi.60435@sbi.co.in,SBIN0060435,AHMEDABAD,SHREE SAIVILA COMPLEX,NEARBY RELIANCE MEGA MALL,"O.P.ROAD, VADODARA"
00322,BARDOLI,UDHNA UDYOGNAGAR,394601,SURAT,GUJRAT,2622,222738,SBI.00322@SBI.CO.IN,SBIN0000322,AHMEDABAD,"BHANDARIWAD,",STATION ROAD,"BARDOLI, SURAT"
08242,ENDLA,KADI(N.G.),382130,AHMEDABAD,GUJRAT,2715,249626,SBI.08242@SBI.CO.IN,SBIN0008242,AHMEDABAD,TAL. MANDAL,AHMEDABAD,"AHMEDABAD, GUJRAT"
10945,VAGDOD,MEHSANA,384285,PATAN,GUJRAT,2766,02766261280,sbi.10945@sbi.co.in,SBIN0010945,AHMEDABAD,AT & POST VAGDOD,TAL SARASWATI,DIST PATAN
60028,VALBHIPUR,BHAVNAGAR,364310,BHAVNAGAR,GUJRAT,2841,222427,sbi.60028@sbi.co.in,SBIN0060028,AHMEDABAD,TOWER CHOWK DARBARGADH,VALLABHIPUR,BHAVNAGAR
08976,FUND SETTLEMENT LINK OFFICE AHMEDABAD,AHMEDABAD/ GANDHI NAGAR,380001,AHMEDABAD,GUJRAT,79,25506473,agmfslo.lhoahm@sbi.co.in,SBIN0008976,AHMEDABAD,SBI LHO,LAL DARWAJA BHADRA,AHMEDABAD.
16688,ISKON MEGA CITY BRANCH BHAVNAGAR,BHAVNAGAR,364001,BHAVNAGAR,GUJRAT,278,2530046,sbi.16688@sbi.co.in,SBIN0016688,AHMEDABAD,HIMALAYA SQUARE BUILDING,NEAR STERLING HOSPITAL,BHAVNAGAR
03859,JABUGAM,CHHOTA-UDEPUR,391155,CHHOTA UDAIPUR,GUJRAT,2664,225118,SBI.03859@SBI.CO.IN,SBIN0003859,AHMEDABAD,"TAL:PAVI-JETPUR, JABUGAM,","JABUGAM,","BARODA, GUJRAT"
60353,DHARESHWAR,KOVAYA,365601,AMRELI,GUJRAT,2794,294186,sbi.60353@sbi.co.in,SBIN0060353,AHMEDABAD,TALUKO- RAJULA,DIST : AMRELI,DHARESHWAR
12232,DOCUMENT ARCHIVAL CENTRE BHAVNAGAR,BHAVNAGAR,364001,BHAVNAGAR,GUJRAT,278,2525851,,SBIN0012232,AHMEDABAD,"PERCIVAL MARKET, AMBA CHOWK","NEAR TREASURY BRANCH,DARBARGADH",BHAVNAGAR
15230,DOLVAN,UDHNA UDYOGNAGAR,394635,AHMEDABAD,GUJRAT,2626,2501040,sbi.15230@sbi.co.in,SBIN0015230,AHMEDABAD,STATE BANK OF INDIA,"ITI BUILDING ,NEAR CHAR RASTA","TALUKA - VYARA , DOLVAN"
07542,KHANPUR (AHMEDABAD),AHMEDABAD/ GANDHI NAGAR,380001,AHMEDABAD,GUJRAT,79,25600460,SBI.07542@SBI.CO.IN,SBIN0007542,AHMEDABAD,"1ST FLOOR, PUSHPAK BUILDING",OPP CAMA HOTEL,"AHMEDABAD, GUJRAT"
04194,NRI BRANCH,MUNDRA,370001,KUTCH,GUJRAT,2832,256100,SBI.O4I94@SBI.CO.IN,SBIN0004194,AHMEDABAD,"HOSPITAL ROAD,",BHUJ,"DIST:KUTCH, GUJRAT"
16692,AMIN MARG RAJKOT,PORBANDAR,360001,RAJKOT,GUJRAT,281,2450566,sbi.16692@sbi.co.in,SBIN0016692,AHMEDABAD,"1ST FLOOR, ANMOL ARCADE, AKSHAR MARG","NR BAPS, SWAMINARAYAN TEMPLE-KALVAD ROA",RAJKOT
03325,AVIDHA,RAJPIPLA,393017,BHARUCH,GUJRAT,2645,240277,SBI.03325@SBI.CO.IN,SBIN0003325,AHMEDABAD,"AVIDHA TALUKA-JHAGADIA,","DIST:BHARUCH,",GUJRAT
09746,CHHAPRA ROAD NAVSARI,VALSAD- DAMAN,396445,AHMEDABAD,GUJRAT,26370,251006,sbi.09746@sbi.co.in,SBIN0009746,AHMEDABAD,"WORD NO.12/1, MEGNUM PARK","GROUND FLOOR,","CHHAPRA RD, NAVSARI, GUJARAT"
05527,SOJA,KADI(N.G.),382735,GANDHINAGAR,GUJRAT,2764,289501,sbi.05527@sbi.co.in,SBIN0005527,AHMEDABAD,"NEAR SWAMINARAYAN TEMPLE,","TALUKA KALOL (N.G.),","DIST:GANDHINAGAR, GUJRAT"
60085,TANKARA,SURENDRANAGAR,363650,MORBI,GUJRAT,2822,287727,sbi.60085@sbi.co.in,SBIN0060085,AHMEDABAD,LAXMINARAYAN STREET,TANKARA-363650,DIST-RAJKOT
07471,KANKARIA RLY YARD (AHMEDABAD),AHMEDABAD/ GANDHI NAGAR,380022,AHMEDABAD,GUJRAT,79,25453368,SBI.07471@SBI.CO.IN,SBIN0007471,AHMEDABAD,"VIJAY TOWERS COMPLEX,","OPP. ABAD DAIRY, KANKARIA,","AHMEDABAD,, GUJRAT"
07942,KARMAD SAB,BHARUCH,392160,BHARUCH,GUJRAT,2642,255113,sbi.07942@sbi.co.in,SBIN0007942,AHMEDABAD,"POST : KARMAD,",TALUK:BHARUCH,"DIST:BHARUCH, GUJRAT"
60201,NAVAGADH,PORBANDAR,360375,RAJKOT,GUJRAT,2823,"221005,",sbi.60201@sbi.co.in,SBIN0060201,AHMEDABAD,NEAR RAILWAY LINE,NAVAGADH,TALUKA-JETPUR
18864,SBI AMBADA BRANCH,VALSAD- DAMAN,396469,NAVSARI,GUJRAT,,267522,SBI.18864@SBI.CO.IN,NULL,AHMEDABAD,"NISHAL FALIA, AT & PO AMBADA",TA & DIST NAVSARI,GUJARAT
19001,SBI INTOUCH BRANCH AHMEDABAD,AHMEDABAD/ GANDHI NAGAR,380052,AHMEDABAD,GUJRAT,79,,SBI.19001@SBI.CO.IN,SBIN0019001,AHMEDABAD,"UNIT NO 2 , GF HIMALAYA MALL",DRIVE IN ROAD,AHMEDABAD
02181,AMBARDI,BHAVNAGAR,364522,AMRELI,GUJRAT,2845,287413,SBI.02181@SBI.CO.IN,SBIN0002181,AHMEDABAD,POST AMBARDI,SAVARKUNDLA,DIST AMRELI
60211,BAMANBORE,SURENDRANAGAR,363520,SURENDRANAGAR,GUJRAT,2751,240321,sbi.60211@sbi.co.in,SBIN0060211,AHMEDABAD,SHRI GHELABHAI HOUSE,BAMANBORE-363520,DIST-SURENDRANAGAR
06279,DAYAPAR,MUNDRA,370625,KUTCH,GUJRAT,2839,233338,sbi.06279@sbi.co.in,SBIN0006279,AHMEDABAD,"TAL. LAKHPAT,",KUTCH,"DIST:KUTCH, GUJRAT"
60271,CHUDA JUNAGADH,JUNAGADH,362020,JUNAGADH,GUJRAT,2873,251416,sbi.60271@sbi.co.in,SBIN0060271,AHMEDABAD,CHUDA JUNAGADH,TALUKA-BHESAN,DIST-JUNAGADH
60236,MINI BAZAR SURAT,SURAT,395006,SURAT,GUJRAT,261,2544881,sbi.60236@sbi.co.in,SBIN0060236,AHMEDABAD,OPP: SUMANGAL SHOPPING CENTRE,"KAPADIA WADI, VARACHHA,",SUARAT
