SR NO,REGION,MACHINE,REF NO,ADDRESS,EXPIRY DATE,PERIOD 1,Payment Terms,MODEL,RATE,QTY,TYPE,STATUS
13,BARODA,NCM,,"The Branch Manager~
State Bank of India ~
Ellora Park Branch~
Ellora Park~
Baroda~
",3/31/2018,1-4-18 to 31-3-19,,Robomak - T.T,4000,1,REN,ALREADY SENT
13,,,,,,,,Sinic - NS 150,4500,1,REN,
14,BARODA,NCM,,"The Branch Manager~
State Bank Of India~
Harni Road branch~
Baroda.~
",3/31/2018,1-4-18 to 31-3-19,,Robomak - T.T,4000,1,REN,
14,,,,,,,,Robomak - Floor,4500,1,REN,
15,BARODA,NCM,,"
The Chief Manager~
State Bank of India~
Nani Daman Branch~
Daman, U.T.~
",3/31/2018,1-4-18 to 31-3-19,,Robomak – T.T ,4000,1,REN,ALREADY SENT
16,AHMEDABAD,CCM,012/0518,"The Branch Manager~
Bank of Baroda~
Bopal Branch~
Shri Hari House~
5, Vraj Vihar Society~
Bopal~
Ahmedabad-380058.~
Tel: 02717-230531.~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
17,AHMEDABAD,NCM,013/0518,"The Branch Manager~
Bank of Baroda~
Bopal Branch~
Shri Hari House~
5, Vraj Vihar Society~
Bopal~
Ahmedabad-380058.~
Tel: 02717-230531.~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Methodex Floor,3500,1,REN,
18,AHMEDABAD,CCM,014/0518,"
The Branch Manager~
Central Bank of India~
Bhupendra Road Branch~
Shaligram Complex~
Bhupendra Road~
Rajkot~
Mo: 9427564456.~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
19,AHMEDABAD,CCM,016/0518,"
The Branch Manager~
Union Bank Of India~
Sidhpur  Branch~
Near Old Tower~
Municipal Building~
Station Road~
Ta:-Sidhpur~
Dist:-Patan-384151~

",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
20,AHMEDABAD,CCM,017/0518,"The Branch Manager~
Central Bank of India~
Dehmai Branch~
Dehmai - 383330~
Ta : Bayad~
Dist : Sabarkantha~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
21,AHMEDABAD,NCM,018/0518,"
The Branch Manager~
Central Bank of India~
Unjha Branch~
Patel Building~
Station Road~
Unjha.~
Dist: Mehsana ~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Infres Floor,2500,1,REN,
22,AHMEDABAD,CCM,019/0518,"
The Branch Manager~
Citizen Co Opp Bank Ltd~
Morbi Branch~
Kharakuva~
Sardar Road~
Morbi - 363642~

",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
23,AHMEDABAD,NCM,020/0518,"The Branch Manager~
Bank of India ~
Sabarmati Branch~
Near Pukhraj Hospital~
Ramnagar~
Sabarmati~
Ahmedabad.~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Albertson Floor,3500,3,REN,
24,AHMEDABAD,CCM,021/0518,"
The Branch Manager~
State Bank of India ~
University Campus Area Branch~
Lajpatnagar~
University Campus Area~
Ahmedabad-380014.~
Tel: 079-26402192.~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,2,REN,
25,AHMEDABAD,CCM,022/0518,"The Branch Manager~
State Bank of India~
Theba Branch~
Via: Dhuva.~
Theba-361120.~
Dist: Jamnagar.~
Tel: 0288-2570321.~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
26,AHMEDABAD,CCM,023/0518,"The Branch Manager~
State Bank of India~
Science City Branch~
3-4-5, Maurya Times Square Complex~
Opp. R.K.Hall~
Science City Road~
Ahmedabad.~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
27,AHMEDABAD,CCM,024/0518,"The Branch Manager~
State Bank of India~
Ramdevnagar Branch~
Palak-2, Opp. Shreeji Enclave~
Anandnagar Ramdevnagar Road~
Ahmedabad-380015~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
28,AHMEDABAD,CCM,025/0518,"The Branch Manager~
State Bank of India~
M.G.Road Branch~
Mahatma Gandhi Road~
Gondal-360311.~
Dist: Rajkot.~
Tel: 02825-220086.~
Mo: 7600036262.~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,2,REN,
29,AHMEDABAD,CCM,026/0518,"The Branch Manager~
State Bank of India~
Chandlodia Branch~
Silverstar Complex~
Near Chandlodia Overbridge~
Ahmedabad-382481.~
Tel: 079-27606092~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
30,AHMEDABAD,CCM,027/0518,"The Branch Manager~
State Bank of India~
Barwala Branch~
Khamidana Gate~
Barwala(Ghelasha)-382450~
Dist : Ahmedabad.~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
31,AHMEDABAD,CCM,028/0518,"The Branch Manager~
Nabros Transport Pvt.Ltd~
D-1201, Titanim Square~
Thaltej Cross Road , S G Road~              Ahmedabad - 380054~                          Mob: 8511140381 / 8511140382~",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,2500,1,REN,
32,AHMEDABAD,CCM,029/0518,"The Branch Manager~
Central Bank of India~
Paldi Branch~
Mahalaxmi Society Corner~ 
Paldi, Ellis Bridge~ 
Ahmedabad.~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3000,1,REN,
33,AHMEDABAD,CCM,031/0518,"The Branch Manager~
Bank of Baroda~
Panchkuva Branch~
Opp. Panchkuva Darwaja~
Panchkuva~
Ahmedabad.~
Tel: 079-22142346~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
34,AHMEDABAD,CCM,032/0518,"The Branch Manager~
BANK OF BARODA~
MASKATI MARKET BRANCH~
Sakar Bazzar~
Maskati Market~
Kalupur~
Ahmedabad 380002~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
35,AHMEDABAD,CCM,033/0518,"The Manager~
Gallantt Metal Ltd~
Survey No:175/1~
Village: Samakhiali~
Ta: Bhachau~
Dist: Kutch~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,2500,1,REN,
36,AHMEDABAD,CCM,034/0518,"The Branch Manager~
State Bank of India~
Anandnagar Branch~
The Grand Monarch~
Anandnagar Road~
Ahmedabad-380015~
Tel: 079-26765522~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
37,AHMEDABAD,CCM,035/0518,"The Branch Manager~
State Bank of India~
Bhuyangdev Char Rasta Branch~
A-7, C.P.Nagar Society Part-I~
Bhuyangdev Cross Road~
Bhuyangdev~
Ahmedabad-380052~
Mo: 7600041201~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
38,AHMEDABAD,NCM,037/0518,"The Branch Manager~
State Bank of India~
Galaxy Chowk Dhoraji Branch~
Galaxy Chowk~
Porbandar Road~
Dhoraji~
Dist: Rajkot~
Tel: 02824-221885~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Bradma Floor,4500,1,REN,
39,AHMEDABAD,NCM,038/0518,"The Branch Manager~
State Bank of India~
Surajpar Branch~
Bharapar~
Ta: Bhuj~
Dist: Kutch~
Tel: 02832-285307~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Robomak Floor,4500,1,REN,
40,AHMEDABAD,NCM,039/0518,"The Branch Manager~
State Bank of India~
Nani Chirai Branch~
C/o. Plastine India Ltd~
Survey No: 317/1~
Nani Chirai-370140~
Ta: Bhachau~
Dist: Kutch~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Robomak Floor,4500,1,REN,
41,AHMEDABAD,NCM,040/0518,"Union Bank Of India~
Sardarnagar Branch~
Shop No. 147, 164, 165, 166~
Main Bazar, Opposite Garden~
Sardanagar, Sindhi Colony~
Ahmedabad~                                     Gujarat 382475~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Sinic Floor,5000,1,REN,
42,AHMEDABAD,NCM,041/0518,"The Branch Manager~
State Bank of India~
Gamph Branch~
Gamph-382460~
Ta: Dhandhuka~
Dist: Ahmedabad~
Tel: 02713-231181~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Robomak Floor,4500,1,REN,
43,AHMEDABAD,NCM,042/0518,"The Branch Manager~
State Bank of India~
Jail Road Gondal Branch~
Jail Road, Gundala Gate~
Gondal-360311~
Dist: Rajkot~
Tel: 02825-221546~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Bradma Desktop,4500,2,REN,
44,AHMEDABAD,NCM,043/0518,"The Branch Manager~
State Bank of India~
Ranjit Road Branch~
Ranjit Road~
Jamnagar~
Tel: 0288-2676683~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Robomak,4500,3,REN,
44,,,,,,,Annually,Bradma,4500,1,REN,
44,,,,,,,Annually,Supertech,4500,1,REN,
45,AHMEDABAD,NCM,044/0518,"The Branch Manager~
Central Bank of India~
Sahijpur Bogha Branch~
Near sahijpur Post Office~
Naroda Road~
Ahmedabad-380045~
Tel: 079-22821341~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Robomak Floor,4500,1,REN,
46,AHMEDABAD,NCM,045/0518,"The Branch Manager~
Central Bank of India~
Sahijpur Bogha Branch~
Near sahijpur Post Office~
Naroda Road~
Ahmedabad-380045~
Tel: 079-22821341~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Bradma Floor,5500,1,REN,
47,AHMEDABAD,NCM,046/0518,"The Branch Manager~
State Bank of India~
Bagathala Branch~
Bhaktinagar circle~
Near Morvi Bypass Road~
Morvi 363641~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Kores Floor,4500,1,REN,
48,AHMEDABAD,NCM,047/0518,"
The Branch Manager~
State Bank of India~
Dhandhuka Branch~
Station Road~
Dhandhuka-382460~
Dist: Ahmedabad~
Tel: 02713-222321~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Robomak Floor,9000,2,REN,
49,AHMEDABAD,NCM,048/0518,"The Branch Manager~
UNION BANK OF INDIA~
Lokhand Bazar~
Post Box No. 17~ 
Bhavnagar~
Gujarat, Pin - 364 001`
(0278)-2517015,2423126~
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Bradma Floor,5000,1,REN,
50,AHMEDABAD,NCM,049/0518,"The Branch Manager
Union Bank of India
Madhapar Branch
Near Gram Panchayat,
Nava Vas,
Madhapar-370020.
Dist: Kutch.
Tel: 02832-241781
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Robomak Floor,5000,1,REN,
51,AHMEDABAD,NCM,050/0518,"The Branch Manager
Union Bank of India
Dhrangadhra Branch
Liyawala Bunglows,
Near Navyug Cinema,
Dhrangadhra.
Dist: Surendranagar.
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Infres Desktop,5000,1,REN,
52,AHMEDABAD,NCM,051/0518,"The Branch Manager
State Bank of India
Ranjitpara Branch
Shreejikrupa,
Ashapura Chowk,
Bhanvad-360510.
Dist: Jamnagar
Tel: 02896-232456.
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Robomak Desktop,4500,1,REN,
53,AHMEDABAD,CCM,052/0518,"The Branch Manager
State Bank of India
Dholera Branch
Dholera-382455.
Dist: Ahmedabad.
Mo: 7600042026.
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,REN,
54,AHMEDABAD,NCM,053/0518,"The Branch Manager 
Bank of Baroda
Savgadh Branch
Z Crown,
RTO to Mehtapura Road,,
Panpur Patiya, Savgadh-383001.
Ta: Himatnagar.
Dist: Sabarkantha.
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Bradma Floor,2750,1,REN,
55,AHMEDABAD,CCM,054/0518,"The Branch Manager
State Bank of India
Ranjitpara Branch
Shreejikrupa,
Ashapura Chowk,
Bhanvad-360510.
Dist: Jamnagar
Tel: 02896-232456.
",4/30/2018,1-5-2018 to 30-4-2019,Half Yearly,Maxsell 50i,3000,1,REN,
56,AHMEDABAD,CCM,055/0518,"
The Branch Manager
State Bank of India
Bagathala Branch,
Bhaktinagar circle,
Near Morvi Bypass Road,
Morvi 363641
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,1500,1,Ren N ,
57,AHMEDABAD,CCM,056/0518,"The Branch Manager 
State Bank of India
Panch Pipla Branch 
Panch Pipla – 360370
TA : Jetpur,
Dist : Rajkot
Tel No : (02823)282361.
",4/30/2018,1-5-2018 to 30-4-2019,Annually,Maxsell 50i,3500,1,Ren,
58,AHMEDABAD,CCM,057/0518,"The Branch Manager
State Bank of India
Thakkarbapanagr Branch
Nr. Bajarang Ashram,
Thakkarbapanagar,
Ahmedabad-382350.
Tel: 079-22733993
",4/30/2018,1-5-2018 to 30-4-2019,Half Yearly,Maxsell 50i,3500,1,Ren,
59,AHMEDABAD,CCM,058/0518,"The Branch Manager
State Bank of India
Udhyognagar Branch
Opp. Modha Vidhyalaya,
Narsang Tekri, Udhyognagar,
Porbandar-360577.
Tel: 0286-251515.
",4/30/2018,1-5-2018 to 30-4-2019,Half Yearly,Maxsell 50i,3500,1,Ren,
60,AHMEDABAD,NCM,059/0518,"
The Branch Manager
State Bank of India
Thakkarbapanagr Branch
Nr. Bajarang Ashram,
Thakkarbapanagar,
Ahmedabad-382350.
Tel: 079-22733993.
",4/30/2018,1-5-2018 to 30-4-2019,Half Yearly,Robomak Floor,4500,1,Ren,
61,AHMEDABAD,NCM,060/0518,"
The Branch Manager
State Bank of India
Varjang Jalia Branch
Varjang Jalia – 360490.
Ta: Upleta.
Dist: Rajkot.
Tel: 02826-282160.
",4/30/2018,1-5-2018 to 30-4-2019,Quarterly,Robomak Floor,4500,1,Ren,
62,AHMEDABAD,CCM,036/0518,"The Branch Manager
State Bank of India 
Sabarmati Branch
Kabir Chowk,
Sabarmati,
Ahmedabad-380005.
Tel: 079-27500683.
",4/30/2018,1-5-2018 to 30-4-2019,Quarterly,Maxsell 50i,3500,3,Ren,
